담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
기업정책과,군포시 수소산업 육성 및 지원에 관한 조례,2024-01-08,제2조,검토 필요,수소경제 육성 및 수소 안전관리에 관한 법률,제22조,내용변경,「수소경제 육성 및 수소 안전관리에 관한 법률」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 에너지 기본 조례,2024-05-15,제2조,검토 필요,에너지이용 합리화법,제22조,내용변경,「에너지이용 합리화법」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 에너지 기본 조례,2024-05-15,제7조,검토 필요,집단에너지사업법,제5조제1항,내용변경,「집단에너지사업법」 제5조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
기업정책과,군포시 에너지 기본 조례,2024-05-15,제9조,검토 필요,에너지이용 합리화법,제28조,내용변경,「에너지이용 합리화법」 제28조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제1조,검토 필요,중소기업기본법,제3조,내용변경,「중소기업기본법」 제3조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제2조,검토 필요,중소기업기본법,제2조,내용변경,「중소기업기본법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제2조,검토 필요,산업집적활성화 및 공장 설립에 관한 법률,제16조,내용변경,「산업집적활성화 및 공장 설립에 관한 법률」 제16조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제13조,검토 필요,산업집적활성화 및 공장 설립에 관한 법률,제28조의2,내용변경,「산업집적활성화 및 공장 설립에 관한 법률」 제28조의2 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례 시행규칙,2020-09-29,제9조,검토 필요,중소기업기본법 시행령,제3조,내용변경,「중소기업기본법 시행령」 제3조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
기업정책과,군포시 필수노동자 보호 및 지원에 관한 조례,2023-05-01,제2조,검토 필요,재난 및 안전관리 기본법,제3조제1호,내용변경,「재난 및 안전관리 기본법」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기획예산실,군포도시공사 설립 및 운영 조례,2026-01-07,제21조,검토 필요,지방공기업법,제2조,내용변경,「지방공기업법」 제2조 개정 내용을 반영하여 이 조례 제21조을(를) 검토·정비
기획예산실,군포시 공모사업 관리 조례,2024-05-15,제2조,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기획예산실,군포시 납세자보호에 관한 사무처리 조례,2025-12-10,제1조,검토 필요,지방세기본법 시행령,제51조의2,내용변경,「지방세기본법 시행령」 제51조의2 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
기획예산실,군포시 납세자보호에 관한 사무처리 조례,2025-12-10,제5조,검토 필요,지방공무원 임용령,제34조,내용변경,「지방공무원 임용령」 제34조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
기획예산실,군포시 납세자보호에 관한 사무처리 조례,2025-12-10,제6조,검토 필요,지방세기본법 시행령,제51조의2,내용변경,「지방세기본법 시행령」 제51조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
기획예산실,군포시 민간투자사업 심의위원회 설치ㆍ운영에 관한 조례,2025-10-10,제24조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령,제37조제2항,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」 제37조 개정 내용을 반영하여 이 조례 제24조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제10조제1항,내용변경,「지방공무원 적극행정 운영규정」 제10조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제12조,내용변경,「지방공무원 적극행정 운영규정」 제12조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제15조제6항,내용변경,「지방공무원 적극행정 운영규정」 제15조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제17조제2항,내용변경,「지방공무원 적극행정 운영규정」 제17조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제17조제3항,내용변경,「지방공무원 적극행정 운영규정」 제17조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제10조,검토 필요,지방공무원 적극행정 운영규정,제6조,내용변경,「지방공무원 적극행정 운영규정」 제6조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제12조,검토 필요,지방공무원 적극행정 운영규정,제13조제1항,내용변경,「지방공무원 적극행정 운영규정」 제13조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제14조,검토 필요,지방공무원 적극행정 운영규정,제16조,내용변경,「지방공무원 적극행정 운영규정」 제16조 개정 내용을 반영하여 이 조례 제14조을(를) 검토·정비
기획예산실,군포시 지방보조금 관리 조례,2023-07-04,제9조,검토 필요,지방자치단체 보조금 관리에 관한 법률 시행령,제9조,내용변경,「지방자치단체 보조금 관리에 관한 법률 시행령」 제9조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
기획예산실,군포시장직 인수위원회 설치 및 운영 조례,2022-04-25,제5조,검토 필요,양성평등기본법,제21조,내용변경,「양성평등기본법」 제21조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
기획예산실,군포시장직 인수위원회 설치 및 운영 조례,2022-04-25,제5조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
노인장애인과,군포시 공공시설 내 최적의 장애인관람석 지정설치ㆍ운영조례,2005-06-03,제2조,검토 필요,장애인복지법,제2조,내용변경,「장애인복지법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
노인장애인과,군포시 노인복지문화 지원 조례,2025-10-10,제29조,검토 필요,5·18 민주유공자예우에 관한 법률,,제명변경,인용한 「5·18 민주유공자예우에 관한 법률」이(가) 현행 「5ㆍ18민주유공자예우 및 단체설립에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시 발달장애인 지원에 관한 조례,2018-03-13,제7조,검토 필요,장애인복지법,제35조,내용변경,「장애인복지법」 제35조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
노인장애인과,군포시 발달장애인 지원에 관한 조례,2018-03-13,제19조,검토 필요,장애인복지법,제58조,내용변경,「장애인복지법」 제58조 개정 내용을 반영하여 이 조례 제19조을(를) 검토·정비
노인장애인과,군포시 발달장애인 지원에 관한 조례,2018-03-13,제7조,검토 필요,발달장애인 권리보장 및 지원에 관한 법률,제18조,내용변경,「발달장애인 권리보장 및 지원에 관한 법률」 제18조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
노인장애인과,군포시 장애인ㆍ노인등 전동보조기기 보험 가입 및 지원 조례,2023-12-12,제2조,검토 필요,장애인복지법,제32조,내용변경,「장애인복지법」 제32조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
노인장애인과,군포시 장애인가족 지원 조례,2021-12-06,제6조,검토 필요,장애아동 복지지원법,제9조,내용변경,「장애아동 복지지원법」 제9조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
노인장애인과,군포시 장애인복지시설 운영 조례,2017-07-11,제1조,검토 필요,사회복지사업법,제34조,내용변경,「사회복지사업법」 제34조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
노인장애인과,군포시 장애인복지시설 운영 조례,2017-07-11,제1조,검토 필요,장애인복지법,제59조,내용변경,「장애인복지법」 제59조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
노인장애인과,군포시 장애인전용주차구역 관리에 관한 조례,2017-04-01,제3조,검토 필요,장애인·노인·임산부등의 편의증진 보장에 관한 법률,제17조,내용변경,「장애인·노인·임산부등의 편의증진 보장에 관한 법률」 제17조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
노인장애인과,군포시 중증장애인 자립생활 지원 조례,2018-01-05,제2조,검토 필요,장애인고용촉진 및 직업재활법,제2조제2호,내용변경,「장애인고용촉진 및 직업재활법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
노인장애인과,군포시 중증장애인 자립생활 지원 조례,2018-01-05,제2조,검토 필요,장애인복지법,제55조,내용변경,「장애인복지법」 제55조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
노인장애인과,군포시 중증장애인 자립생활 지원 조례,2018-01-05,제17조,검토 필요,장애인복지법,제55조,내용변경,「장애인복지법」 제55조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제4조,검토 필요,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제5조,검토 필요,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제6조,검토 필요,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제7조,검토 필요,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제15조,검토 필요,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제6조,검토 필요,요양보험법 시행규칙,,제명변경,인용한 「요양보험법 시행규칙」이(가) 현행 「노인장기요양보험법 시행규칙」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제2조,검토 필요,노인장기요양보험법,제15조,내용변경,「노인장기요양보험법」 제15조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제2조,검토 필요,노인장기요양보험법,제23조,내용변경,「노인장기요양보험법」 제23조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제8조,검토 필요,사회복지사업법,제34조제4항,내용변경,「사회복지사업법」 제34조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제8조,검토 필요,사회복지사업법 시행규칙,제21조,내용변경,「사회복지사업법 시행규칙」 제21조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제9조,검토 필요,사회복지사업법 시행규칙,제21조의2,내용변경,「사회복지사업법 시행규칙」 제21조의2 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제14조,검토 필요,보조금의 예산 및 관리에 관한 법률,,제명변경,인용한 「보조금의 예산 및 관리에 관한 법률」이(가) 현행 「보조금 관리에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제2조,검토 필요,주택법,제49조,,「주택법」 제49조 변경 사항을 검토하여 이 조례 제2조 정비
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제2조,검토 필요,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제4조,검토 필요,부동산 가격공시 및 감정평가에 관한 법률,,제명변경,인용한 「부동산 가격공시 및 감정평가에 관한 법률」이(가) 현행 「부동산 가격공시에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
도시개발과,군포시 도시개발 조례,2023-09-27,제8조,검토 필요,지방세법,제112조,내용변경,「지방세법」 제112조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
도시개발과,군포시 도시개발 조례,2023-09-27,제4조,검토 필요,도시개발법시행령,제11조,내용변경,「도시개발법시행령」 제11조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
도시개발과,군포시 도시개발 조례,2023-09-27,제4조,검토 필요,도시개발법시행령,제11조제2항,내용변경,「도시개발법시행령」 제11조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
도시개발과,군포시 도시재생 활성화 및 지원에 관한 조례,2026-01-07,제19조,검토 필요,도시재생 활성화 및 지원에 관한 특별법,제27조,내용변경,「도시재생 활성화 및 지원에 관한 특별법」 제27조 개정 내용을 반영하여 이 조례 제19조을(를) 검토·정비
도시계획과,군포시 공공디자인 진흥 조례,2022-08-12,제2조,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
도시계획과,군포시 공공디자인 진흥 조례,2022-08-12,제6조,검토 필요,공공디자인의 진흥에 관한 법률,제6조,내용변경,「공공디자인의 진흥에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
도시계획과,군포시 도시계획 조례,2025-10-10,제40조,검토 필요,군사시설보호법,,제명변경,인용한 「군사시설보호법」이(가) 현행 「군사기지 및 군사시설 보호법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
도시계획과,군포시 도시계획 조례,2025-10-10,제40조,검토 필요,전기설비기준,,제명변경,인용한 「전기설비기준」이(가) 현행 「방송통신설비의 기술기준에 관한 규정」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
도시환경과,군포시 농업생산기반시설의 사용허가 사용료 징수 조례,2020-09-29,제1조,검토 필요,농어촌정비법,제23조,내용변경,「농어촌정비법」 제23조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
도시환경과,군포시 농업생산기반시설의 사용허가 사용료 징수 조례,2020-09-29,제1조,검토 필요,농어촌정비법 시행령,제32조,내용변경,「농어촌정비법 시행령」 제32조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
도시환경과,군포시 농업생산기반시설의 사용허가 사용료 징수 조례,2020-09-29,제3조,검토 필요,감정평가 및 감정평가사에 관한 법률,제3조,내용변경,「감정평가 및 감정평가사에 관한 법률」 제3조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
도시환경과,군포시 먹거리 보장 기본 조례,2023-12-12,제1조,검토 필요,농업·농촌 및 식품산업 기본법,제23조의3,내용변경,「농업·농촌 및 식품산업 기본법」 제23조의3 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
도시환경과,군포시 먹거리 보장 기본 조례,2023-12-12,제6조,검토 필요,농업·농촌 및 식품산업 기본법,제23조의3제1항,내용변경,「농업·농촌 및 식품산업 기본법」 제23조의3 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
도시환경과,군포시 먹거리 보장 기본 조례,2023-12-12,제8조,검토 필요,농업·농촌 및 식품산업 기본법,제23조의3제2항,내용변경,「농업·농촌 및 식품산업 기본법」 제23조의3 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
문화예술과,군포시 관광 진흥 조례,2021-04-26,제2조,검토 필요,관광진흥법,제2조,내용변경,「관광진흥법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
문화예술과,군포시 국어 바르게 쓰기 조례,2021-04-26,제6조,검토 필요,국어기본법,제14조,내용변경,「국어기본법」 제14조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제1조,검토 필요,음악산업진흥에 관한 법률,제11조,내용변경,「음악산업진흥에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제2조,검토 필요,음악산업진흥에 관한 법률,제11조,내용변경,「음악산업진흥에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제3조,검토 필요,음악산업진흥에 관한 법률,제11조,내용변경,「음악산업진흥에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제4조,검토 필요,음악산업진흥에 관한 법률,제32조제2항,내용변경,「음악산업진흥에 관한 법률」 제32조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제10조,검토 필요,음악산업진흥에 관한 법률,제36조,내용변경,「음악산업진흥에 관한 법률」 제36조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비
문화예술과,군포시 문화도시 조성 및 지원 조례,2021-09-30,제11조,검토 필요,지역문화진흥법,제6조,내용변경,「지역문화진흥법」 제6조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비
문화예술과,군포시 문화예술회관 운영 조례,2023-12-12,제12조,검토 필요,소방시설설치유지 및 안전관리에 관한 법률,,제명변경,인용한 「소방시설설치유지 및 안전관리에 관한 법률」이(가) 현행 「소방시설 설치 및 관리에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
문화예술과,군포시 생활문화센터 설치 및 운영 조례,2021-07-01,제4조,검토 필요,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
문화예술과,군포시 시립예술단체 구성 및 운영 조례 시행규칙,2021-07-01,제6조,검토 필요,공무원임용시험령,제34조,내용변경,「공무원임용시험령」 제34조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
문화예술과,군포시 예술인 기회소득 지급에 관한 조례,2023-07-04,제2조,검토 필요,예술인 복지법,제2조제2호,내용변경,「예술인 복지법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
문화예술과,군포시 예술인 기회소득 지급에 관한 조례,2023-07-04,제5조,검토 필요,예술인 복지법,제8조,내용변경,「예술인 복지법」 제8조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
문화예술과,군포시 장애예술인 문화예술 활동 지원 조례,2022-12-14,제2조,검토 필요,문화예술진흥법,제2조제1항제1호,내용변경,「문화예술진흥법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
문화예술과,군포시 지명위원회 조례,2024-01-08,제1조,검토 필요,공간정보의 구축 및 관리 등에 관한 법률 시행령,제88조의2,내용변경,「공간정보의 구축 및 관리 등에 관한 법률 시행령」 제88조의2 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
민원봉사과,군포시 민원사무착오 및 지체보상에 관한 조례,2023-07-04,제3조,검토 필요,민원사무처리에 관한 법률 시행령,,제명변경,인용한 「민원사무처리에 관한 법률 시행령」이(가) 현행 「민원 처리에 관한 법률 시행령」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
민원봉사과,군포시 민원사무착오 및 지체보상에 관한 조례,2023-07-04,제9조,검토 필요,국가배상법,제2조,내용변경,「국가배상법」 제2조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비 (덧붙여 「국가배상법」처럼 꺽쇠 서식으로 정정)
민원봉사과,군포시 민원실의 설치 및 운영에 관한 조례,2023-03-16,제5조,검토 필요,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
민원봉사과,군포시 민원실의 설치 및 운영에 관한 조례,2023-03-16,제5조,검토 필요,관공서의 공휴일에 관한 규정,제3조,내용변경,「관공서의 공휴일에 관한 규정」 제3조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
민원봉사과,군포시 주민등록사무의 동 위임 조례,2012-12-05,제1조,검토 필요,주민등록법,제2조제2항,내용변경,「주민등록법」 제2조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비 (덧붙여 「주민등록법」처럼 꺽쇠 서식으로 정정)
민원봉사과,군포시 주소정보 등에 관한 조례,2024-05-15,제16조,검토 필요,도로명주소법,제33조제2항,내용변경,「도로명주소법」 제33조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비
민원봉사과,군포시 주소정보 등에 관한 조례,2024-05-15,제16조,검토 필요,도로명주소법 시행령,제64조,내용변경,「도로명주소법 시행령」 제64조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,측량ㆍ수로조사 및 지적에 관한 법률,,제명변경,인용한 「측량ㆍ수로조사 및 지적에 관한 법률」이(가) 현행 「공간정보의 구축 및 관리 등에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제1조,검토 필요,지적재조사에 관한 특별법,제30조,내용변경,「지적재조사에 관한 특별법」 제30조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제1조,검토 필요,지적재조사에 관한 특별법,제32조,내용변경,「지적재조사에 관한 특별법」 제32조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
