담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제11조,검토 필요,지적재조사에 관한 특별법,제13조,내용변경,「지적재조사에 관한 특별법」 제13조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비 (덧붙여 약칭 앞 띄어쓰기 정정)
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제3조,검토 필요,지적재조사에 관한 특별법,제12조,내용변경,「지적재조사에 관한 특별법」 제12조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제3조,검토 필요,지적재조사에 관한 특별법,제19조,내용변경,「지적재조사에 관한 특별법」 제19조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제3조,검토 필요,지적재조사에 관한 특별법,제20조,내용변경,「지적재조사에 관한 특별법」 제20조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
보건행정과,군포시 감염병 예방 및 관리에 관한 조례,2020-09-29,제5조,검토 필요,의료법,,제명변경,인용한 「의료법」이(가) 현행 「공공보건의료에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
보건행정과,군포시 감염병 예방 및 관리에 관한 조례,2020-09-29,제2조,검토 필요,감염병의 예방 및 관리에 관한 법률,제2조,내용변경,「감염병의 예방 및 관리에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 감염병 예방 및 관리에 관한 조례,2020-09-29,제12조,검토 필요,감염병의 예방 및 관리에 관한 법률,제36조,내용변경,「감염병의 예방 및 관리에 관한 법률」 제36조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제2조,검토 필요,의료법,,제명변경,인용한 「의료법」이(가) 현행 「공공보건의료에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제1조,검토 필요,지역보건법,제30조,내용변경,「지역보건법」 제30조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제1조,검토 필요,지역보건법 시행령,제23조,내용변경,「지역보건법 시행령」 제23조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제2조,검토 필요,지역보건법 시행령,제23조제2항,내용변경,「지역보건법 시행령」 제23조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례 시행규칙,2018-10-08,제2조,검토 필요,의료법,,제명변경,인용한 「의료법」이(가) 현행 「공공보건의료에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
보건행정과,군포시 소아청소년과 야간ㆍ휴일 일차의료기관 지정 및 지원에 관한 조례,2025-12-10,제2조,검토 필요,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 소아청소년과 야간ㆍ휴일 일차의료기관 지정 및 지원에 관한 조례,2025-12-10,제2조,검토 필요,관공서의 공휴일에 관한 규정,제3조,내용변경,「관공서의 공휴일에 관한 규정」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 시민건강관리 기본 조례,2018-10-08,제5조,검토 필요,지역보건법,제7조제1항,내용변경,「지역보건법」 제7조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
보건행정과,군포시 시민건강관리 기본 조례,2018-10-08,제7조,검토 필요,국민건강증진법,제6조,내용변경,「국민건강증진법」 제6조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비 (덧붙여 「국민건강증진법」처럼 꺽쇠 서식으로 정정)
보건행정과,군포시 시민건강관리 기본 조례,2018-10-08,제21조,검토 필요,국민건강증진법,제19조,내용변경,「국민건강증진법」 제19조 개정 내용을 반영하여 이 조례 제21조을(를) 검토·정비
보건행정과,군포시 장기등 및 인체조직 기증 장려에 관한 조례,2023-07-04,제2조,검토 필요,장기등 이식에 관한 법률,제14조,내용변경,「장기등 이식에 관한 법률」 제14조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 정신건강복지센터 설치 및 운영 조례,2017-09-29,제1조,검토 필요,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률,제15조,내용변경,「정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률」 제15조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
보건행정과,군포시 정신건강복지센터 설치 및 운영 조례,2017-09-29,제1조,검토 필요,지역보건법,제11조,내용변경,「지역보건법」 제11조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
보건행정과,군포시 한의약 육성을 위한 조례,2022-04-25,제9조,검토 필요,한의약 육성법,제16조,내용변경,「한의약 육성법」 제16조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제1조,검토 필요,혈액관리법 시행령,제2조제2항,내용변경,「혈액관리법 시행령」 제2조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제2조,검토 필요,혈액관리법,제4조,내용변경,「혈액관리법」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제2조,검토 필요,혈액관리법 시행령,제2조제2항,내용변경,「혈액관리법 시행령」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제7조,검토 필요,혈액관리법,제4조의4,내용변경,「혈액관리법」 제4조의4 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
보건행정과,군포시 희귀질환 관리 및 지원에 관한 조례,2024-12-10,제3조,검토 필요,의료법,,제명변경,인용한 「의료법」이(가) 현행 「공공보건의료에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
복지정책과,군포시 3ㆍ31독립만세운동 기념에 관한 조례,2021-09-30,제1조,검토 필요,국가보훈 기본법,제23조,내용변경,「국가보훈 기본법」 제23조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
복지정책과,군포시 국가보훈대상자 등 예우 및 지원에 관한 조례,2024-10-02,제4조,검토 필요,5·18민주유공자예우에 관한 법률,,제명변경,인용한 「5·18민주유공자예우에 관한 법률」이(가) 현행 「5ㆍ18민주유공자예우 및 단체설립에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
복지정책과,군포시 보훈회관 설치ㆍ운영 조례,2020-05-11,제2조,검토 필요,국가유공자 등 예우 및 지원에 관한 법률,제4조,내용변경,「국가유공자 등 예우 및 지원에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
복지정책과,군포시 사회복지사 등의 처우 및 지위 향상에 관한 조례,2023-01-09,제2조,검토 필요,사회복지사업법,제2조,내용변경,「사회복지사업법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
복지정책과,군포시 의사상자 예우 및 지원에 관한 조례,2024-05-15,제3조,검토 필요,내에서법,,제명변경,인용한 「내에서법」이(가) 현행 「공군 20전투비행단 이예람 중사 사망 사건 관련 군 내 성폭력 및 2차 피해 등의 진상규명을 위한 특별검사 임명 등에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
복지정책과,군포시 의사상자 예우 및 지원에 관한 조례,2024-05-15,제4조,검토 필요,의사상자 등 예우 및 지원에 관한 법률,제8조,내용변경,「의사상자 등 예우 및 지원에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비 (덧붙여 약칭 앞 띄어쓰기 정정)
산본보건지소,군포시 건전한 음주문화 환경조성 및 지원에 관한 조례,2024-07-09,제1조,검토 필요,국민건강증진법,제8조,내용변경,「국민건강증진법」 제8조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
산본보건지소,군포시 건전한 음주문화 환경조성 및 지원에 관한 조례,2024-07-09,제4조,검토 필요,어린이놀이시설 안전관리법,제2조제2호,내용변경,「어린이놀이시설 안전관리법」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
산본보건지소,군포시 걷기 활성화 지원에 관한 조례,2019-12-31,제1조,검토 필요,국민건강증진법,제6조제1항,내용변경,「국민건강증진법」 제6조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
산본보건지소,군포시 금연환경 조성 및 간접흡연 피해방지 조례 시행규칙,2015-05-22,제5조,검토 필요,국민건강증진법 시행령,제16조의4,내용변경,「국민건강증진법 시행령」 제16조의4 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
산본보건지소,군포시 모유수유시설 설치 및 지원에 관한 조례,2015-12-31,제1조,검토 필요,모자보건법,제3조,내용변경,「모자보건법」 제3조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
산본보건지소,군포시 모유수유시설 설치 및 지원에 관한 조례,2015-12-31,제1조,검토 필요,모자보건법,제10조의3,내용변경,「모자보건법」 제10조의3 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
산본보건지소,군포시 모유수유시설 설치 및 지원에 관한 조례,2015-12-31,제1조,검토 필요,양성평등기본법,제25조,내용변경,「양성평등기본법」 제25조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
산본보건지소,군포시 응급의료 지원에 관한 조례,2019-07-09,제5조,검토 필요,응급의료에 관한 법률,제47조의2,내용변경,「응급의료에 관한 법률」 제47조의2 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
산본보건지소,군포시 응급의료 지원에 관한 조례,2019-07-09,제8조,검토 필요,응급의료에관한 법률,제14조제1항,내용변경,「응급의료에관한 법률」 제14조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
산본보건지소,군포시 한방난임치료 지원에 관한 조례,2022-04-25,제1조,검토 필요,모자보건법,제11조,내용변경,「모자보건법」 제11조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
산본보건지소,군포시 한방난임치료 지원에 관한 조례,2022-04-25,제1조,검토 필요,저출산·고령사회기본법,제10조,내용변경,「저출산·고령사회기본법」 제10조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
생태공원녹지과,군포시 도시공원 및 녹지 등에 관한 조례,2020-09-29,제12조,검토 필요,도시공원 및 녹지 등에 관한 법률,제2조제4호,내용변경,「도시공원 및 녹지 등에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
생태공원녹지과,군포시 도시숲 등의 조성 및 관리에 관한 조례,2025-10-10,제5조,검토 필요,산림조합법,제46조,내용변경,「산림조합법」 제46조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
생태공원녹지과,군포시 모두의놀이터 설치 및 관리에 관한 조례,2024-03-19,제4조,검토 필요,어린이놀이시설 안전관리법,제2조제2호,내용변경,「어린이놀이시설 안전관리법」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
생태공원녹지과,군포시 산사태취약지역지정위원회 설치 및 운영에 관한 조례,2018-03-13,제1조,검토 필요,산림보호법,제45조,내용변경,「산림보호법」 제45조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
생태공원녹지과,군포시 산사태취약지역지정위원회 설치 및 운영에 관한 조례,2018-03-13,제1조,검토 필요,산림보호법 시행령,제32조의7,내용변경,「산림보호법 시행령」 제32조의7 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
생태공원녹지과,군포시 주민참여형 어린이놀이터 조성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,어린이놀이시설 안전관리법,제2조제2호,내용변경,「어린이놀이시설 안전관리법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
생태공원녹지과,군포시 주민참여형 어린이놀이터 조성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,도시공원 및 녹지 등에 관한 법률,제2조제3호,내용변경,「도시공원 및 녹지 등에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
생태공원녹지과,군포시 주민참여형 어린이놀이터 조성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,도시공원 및 녹지 등에 관한 법률,제15조제1항,내용변경,「도시공원 및 녹지 등에 관한 법률」 제15조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
생태공원녹지과,군포시 초막골생태공원 운영 및 관리 조례,2023-12-12,제17조,검토 필요,장애인복지법,제32조,내용변경,「장애인복지법」 제32조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비
생태공원녹지과,군포시 초막골생태공원 운영 및 관리 조례,2023-12-12,제17조,검토 필요,한부모가족지원법 시행규칙,제3조,내용변경,「한부모가족지원법 시행규칙」 제3조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비
생태공원녹지과,군포시 초막골생태공원 운영 및 관리 조례,2023-12-12,제17조,검토 필요,대기환경보전법,제58조,내용변경,「대기환경보전법」 제58조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비
세원관리과,군포시 금고의 지정 및 운영에 관한 조례,2020-09-29,제1조,검토 필요,지방회계법 시행령,제48조,내용변경,「지방회계법 시행령」 제48조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,5·18민주유공자예우에 관한 법률,,제명변경,인용한 「5·18민주유공자예우에 관한 법률」이(가) 현행 「5ㆍ18민주유공자예우 및 단체설립에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,독립유공자예우에 관한 법률,제6조,내용변경,「독립유공자예우에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,국가유공자 등 예우 및 지원에 관한 법률,제6조,내용변경,「국가유공자 등 예우 및 지원에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률,제4조,내용변경,「고엽제후유의증 등 환자지원 및 단체설립에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,참전유공자예우 및 단체설립에 관한 법률,제5조,내용변경,「참전유공자예우 및 단체설립에 관한 법률」 제5조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,특수임무유공자 예우 및 단체설립에 관한 법률,제6조,내용변경,「특수임무유공자 예우 및 단체설립에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,한부모가족지원법,제5조의2,내용변경,「한부모가족지원법」 제5조의2 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,장애인복지법,제32조,내용변경,「장애인복지법」 제32조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,보훈보상대상자 지원에 관한 법률,제2조,내용변경,「보훈보상대상자 지원에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,의사상자 등 예우 및 지원에 관한 법률,제5조,내용변경,「의사상자 등 예우 및 지원에 관한 법률」 제5조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세원관리과,군포시 수입증지 조례,2021-07-01,제7조,검토 필요,회계관계직원 등의 책임에 관한 법률,제7조,내용변경,「회계관계직원 등의 책임에 관한 법률」 제7조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세정과,군포시 시세 감면 조례,2026-04-22,제9조,검토 필요,지방세법,제13조제5항,내용변경,「지방세법」 제13조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
세정과,군포시 시세 감면 조례,2026-04-22,제6조,검토 필요,지방세특례제한법,제75조의2제1항,내용변경,「지방세특례제한법」 제75조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
세정과,군포시 시세 감면 조례,2026-04-22,제12조,검토 필요,지방세특례제한법,제177조의2제1항,내용변경,「지방세특례제한법」 제177조의2 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
세정과,군포시 시세 조례,2021-04-26,제4조,검토 필요,지방세법,제53조,내용변경,「지방세법」 제53조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
세정과,군포시 시세 조례,2021-04-26,제4조,검토 필요,지방세법,제54조,내용변경,「지방세법」 제54조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
세정과,군포시 시세 조례,2021-04-26,제5조,검토 필요,지방세법,제78조,내용변경,「지방세법」 제78조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
세정과,군포시 시세 조례,2021-04-26,제14조,검토 필요,지방세법,제112조,내용변경,「지방세법」 제112조 개정 내용을 반영하여 이 조례 제14조을(를) 검토·정비
세정과,군포시 시세 조례 시행규칙,2021-04-26,제5조,검토 필요,지방세기본법,제50조,내용변경,「지방세기본법」 제50조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
세정과,군포시 시세 조례 시행규칙,2021-04-26,제7조,검토 필요,지방세기본법,제50조,내용변경,「지방세기본법」 제50조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
세정과,군포시 시세 조례 시행규칙,2021-04-26,제9조,검토 필요,지방세기본법,제50조,내용변경,「지방세기본법」 제50조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
세정과,군포시 지방세 세무조사 운영 규칙,2025-01-01,제10조,검토 필요,신탁법,,제명변경,인용한 「신탁법」이(가) 현행 「공익신탁법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
세정과,군포시 지방세 세무조사 운영 규칙,2025-01-01,제16조,검토 필요,지방세기본법,제83조제1항,내용변경,「지방세기본법」 제83조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비
수도과,군포시 수도시설 원인자 부담금 산정ㆍ징수 등에 관한 조례 시행규칙,2016-12-30,제4조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙,제6조제1항,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙」 제6조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
수도과,군포시 수도시설 원인자부담금 산정ㆍ징수 등에 관한 조례,2021-01-01,제5조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙,제6조,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙」 제6조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
수도과,군포시 절수 설비 등 설치 활성화 지원에 관한 조례,2025-05-08,제1조,검토 필요,수도법,제15조,내용변경,「수도법」 제15조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
수도과,군포시 지방공기업 수도사업회계 규칙,2021-04-26,제7조,검토 필요,법인세법시행령,제76조,내용변경,「법인세법시행령」 제76조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비 (덧붙여 「법인세법시행령」처럼 꺽쇠 서식으로 정정)
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제2조,검토 필요,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제2조,검토 필요,도로법,제108조,내용변경,「도로법」 제108조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제2조,검토 필요,공공측량 작업규정,제168조,내용변경,「공공측량 작업규정」 제168조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제5조의2,검토 필요,국가공간정보 기본법,제21조,내용변경,「국가공간정보 기본법」 제21조 개정 내용을 반영하여 이 조례 제5조의2을(를) 검토·정비
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제6조,검토 필요,국가공간정보 기본법,제34조,내용변경,「국가공간정보 기본법」 제34조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
스마트정보과,군포시 스마트도시 조성 및 운영 조례,2022-04-25,제3조,검토 필요,스마트도시 조성 및 산업진흥 등에 관한 법률,제8조,내용변경,「스마트도시 조성 및 산업진흥 등에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제2조,검토 필요,민원 처리에 관한 법률,제2조,내용변경,「민원 처리에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제2조,검토 필요,개인정보 보호법,제2조제1호,내용변경,「개인정보 보호법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제8조,검토 필요,전자정부법 시행령,제14조제1항,내용변경,「전자정부법 시행령」 제14조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제8조,검토 필요,공공기관의 정보공개에 관한 법률시행령,제6조,내용변경,「공공기관의 정보공개에 관한 법률시행령」 제6조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제9조,검토 필요,전자정부법,제9조,내용변경,「전자정부법」 제9조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제18조,검토 필요,개인정보 보호법,제18조제2항,내용변경,「개인정보 보호법」 제18조 개정 내용을 반영하여 이 조례 제18조을(를) 검토·정비
스마트정보과,군포시 지능정보화 조례,2024-12-10,제11조,검토 필요,지능정보화 기본법,제46조,내용변경,「지능정보화 기본법」 제46조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비
스마트정보과,군포시 지능정보화 조례,2024-12-10,제12조,검토 필요,지능정보화 기본법,제49조,내용변경,「지능정보화 기본법」 제49조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
아동청소년과,군포시 다함께 돌봄 지원에 관한 조례,2020-09-29,제7조,검토 필요,한부모가족지원법,제5조의2,내용변경,「한부모가족지원법」 제5조의2 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
아동청소년과,군포시 다함께 돌봄 지원에 관한 조례,2020-09-29,제7조,검토 필요,장애인복지법,제2조,내용변경,「장애인복지법」 제2조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
아동청소년과,군포시 지역아동센터 운영 및 지원에 관한 조례,2019-12-13,제4조,검토 필요,아동복지법 시행규칙,제23조,내용변경,「아동복지법 시행규칙」 제23조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
